Date,Forecast,Actual
2023-03-22,5.8517963549555025,5.853008502927702
2023-03-23,5.85270422585218,5.860656145784265
2023-03-24,5.853612096748857,5.855520228977654
2023-03-27,5.854519967645534,5.859473454080368
2023-03-28,5.855427838542211,5.858289100474266
2023-03-29,5.856335709438889,5.866157905292426
2023-03-30,5.857243580335566,5.867137188110367
2023-03-31,5.858151451232243,5.8681155128716025
2023-04-03,5.85905932212892,5.856048182890682
2023-04-04,5.859967193025597,5.8658966617139985
2023-04-05,5.860875063922275,5.875649093154053
2023-04-06,5.861782934818952,5.878104660142337
2023-04-07,5.862690805715629,5.87965236269919
2023-04-10,5.863598676612306,5.881197673573975
2023-04-11,5.8645065475089835,5.900190195840208
2023-04-12,5.865414418405661,5.8939840756912085
2023-04-13,5.866322289302338,5.899179556697884
2023-04-14,5.867230160199015,5.904913879405217
2023-04-17,5.868138031095692,5.9106155070505935
2023-04-18,5.8690459019923695,5.90648338433843
2023-04-19,5.869953772889047,5.907110630038025
2023-04-20,5.870861643785724,5.910990151421949
2023-04-21,5.871769514682401,5.930655634591272
2023-04-24,5.872677385579078,5.931757353865938
2023-04-25,5.873585256475756,5.938706461018514
2023-04-26,5.874493127372433,5.940405889305013
2023-04-27,5.87540099826911,5.94946120626915
2023-04-28,5.876308869165787,5.972158358760418
2023-05-01,5.877216740062464,5.97086507149819
2023-05-02,5.878124610959142,5.969570109477843
2023-05-03,5.879032481855819,5.975911251099336
2023-05-04,5.879940352752496,5.96992354294966
2023-05-05,5.880848223649173,5.979649957478534
2023-05-08,5.8817560945458505,5.985927548184826
2023-05-09,5.882663965442528,5.9680376660393435
2023-05-10,5.883571836339205,5.971688294280887
2023-05-11,5.884479707235882,5.9599825565453
2023-05-12,5.885387578132559,5.960101595326181
2023-05-15,5.8862954490292365,5.977431685222277
2023-05-16,5.887203319925914,5.968391407223027
2023-05-17,5.888111190822591,5.9769640936000075
2023-05-18,5.889019061719268,5.958316101332682
2023-05-19,5.889926932615945,5.958673455261562
2023-05-22,5.890834803512623,5.970276695695008
2023-05-23,5.8917426744093,5.980582415533594
2023-05-24,5.892650545305977,5.990667720937251
2023-05-25,5.893558416202654,6.008160931347608
2023-05-26,5.894466287099331,6.013699262899047
2023-05-29,5.895374157996009,6.026021571882164
2023-05-30,5.896282028892686,6.042945499362768
2023-05-31,5.897189899789363,6.033117324362362
2023-06-01,5.89809777068604,6.020012795962621
2023-06-02,5.8990056415827175,6.028392421523256
2023-06-05,5.899913512479395,6.022171025501874
2023-06-06,5.900821383376072,6.0270382965813205
2023-06-07,5.901729254272749,6.029632069483883
2023-06-08,5.902637125169426,6.027264160521049
2023-06-09,5.9035449960661035,6.017165889397966
2023-06-12,5.904452866962781,6.013738957978169
2023-06-13,5.905360737859458,6.03289285192562
2023-06-14,5.906268608756135,6.03087018261989
2023-06-15,5.907176479652812,6.038936500697097
2023-06-16,5.9080843505494895,6.050032972070793
2023-06-19,5.908992221446167,6.051135920034931
2023-06-20,5.909900092342844,6.049481005570911
2023-06-21,5.910807963239521,6.036590474415463
2023-06-22,5.911715834136198,6.037931734726184
2023-06-23,5.912623705032876,6.031432441637097
2023-06-26,5.913531575929553,6.0335662644257955
2023-06-27,5.91443944682623,6.0322190588825775
2023-06-28,5.915347317722907,6.041722183469125
2023-06-29,5.916255188619584,6.044222687579074
2023-06-30,5.917163059516262,6.046716954760442
2023-07-03,5.918070930412939,6.072187002291569
2023-07-04,5.918978801309616,6.0788565393680525
2023-07-05,5.919886672206293,6.0974454223659835
2023-07-06,5.9207945431029705,6.094916458481249
2023-07-07,5.921702413999648,6.083242745515762
2023-07-10,5.922610284896325,6.077783832087598
2023-07-11,5.923518155793002,6.093332559020084
2023-07-12,5.924426026689679,6.091534457948334
2023-07-13,5.9253338975863565,6.090899122264342
2023-07-14,5.926241768483034,6.092804057525214
2023-07-17,5.927149639379711,6.09164034250693
2023-07-18,5.928057510276388,6.091957859930528
2023-07-19,5.928965381173065,6.105307539310624
2023-07-20,5.929873252069743,6.132703709146628
2023-07-21,5.93078112296642,6.129243535853799
2023-07-24,5.931688993863097,6.089521002381233
2023-07-25,5.932596864759774,6.070134171796707
2023-07-26,5.933504735656451,6.091428631213109
2023-07-27,5.934412606553129,6.07606507533857
2023-07-28,5.935320477449806,6.083349511641603
2023-07-31,5.936228348346483,6.077461851393998
2023-08-01,5.93713621924316,6.075527296088789
2023-08-02,5.9380440901398375,6.065363991618354
2023-08-03,5.938951961036515,6.056522542746602
2023-08-04,5.939859831933192,6.054107681253152
2023-08-07,5.940767702829869,6.053997746820976
2023-08-08,5.941675573726546,6.04837637394792
2023-08-09,5.9425834446232235,6.062207483424349
2023-08-10,5.943491315519901,6.047049058964816
2023-08-11,5.944399186416578,6.040386000905391
2023-08-14,5.945307057313255,6.041388377749225
2023-08-15,5.946214928209932,6.042556464332695
2023-08-16,5.94712279910661,6.043723188081652
2023-08-17,5.948030670003287,6.022964958872333
2023-08-18,5.948938540899964,6.024437852340998
2023-08-21,5.949846411796641,6.038266768901748
2023-08-22,5.950754282693318,6.052567785412469
2023-08-23,5.951662153589996,6.044167248205742
2023-08-24,5.952570024486673,6.04516562694517
2023-08-25,5.95347789538335,6.028279623275083
2023-08-28,5.954385766280027,6.023871571788094
2023-08-29,5.9552936371767045,6.020922162162997
2023-08-30,5.956201508073382,6.0270382965813205
2023-08-31,5.957109378970059,6.020012795962621
2023-09-01,5.958017249866736,6.023078284247384
2023-09-04,5.958925120763413,6.0149968187944
2023-09-05,5.9598329916600905,6.027715588259065
