Date,Actual,Forecast
2020-02-11,166.5862274169922,153.28888034164888
2020-02-12,166.93881225585938,153.6490004867635
2020-02-13,166.03770446777344,153.70323887303897
2020-02-14,162.74673461914062,153.3508102302626
2020-02-17,160.4744110107422,151.73259285032776
2020-02-18,159.73001098632812,151.58704374818268
2020-02-19,161.96316528320312,151.34350264269165
2020-02-20,162.55084228515625,150.82661910349015
2020-02-24,159.06398010253906,147.06025873801767
2020-02-25,158.12368774414062,146.61756206995994
2020-02-26,155.6162872314453,146.14438251185442
2020-02-27,154.79354858398438,145.46614181594876
2020-02-28,154.79354858398438,144.49041683775164
2020-03-02,153.03050231933594,141.7030739021358
2020-03-03,151.8943328857422,141.4040043353677
2020-03-04,146.918701171875,141.12033612358246
2020-03-05,147.34963989257812,140.67064807473434
2020-03-06,142.41319274902344,139.95530428974556
2020-03-09,138.8479766845703,138.06685438305763
2020-03-11,137.6334228515625,138.11259669009542
2020-03-12,122.0796356201172,137.96800922073518
2020-03-13,127.13365173339844,137.54546956347818
2020-03-16,115.3801498413086,136.43131914924174
2020-03-17,116.8689193725586,136.66589660094317
2020-03-18,118.08345794677734,136.89301953234514
2020-03-19,126.82023620605467,136.92706433260082
2020-03-20,137.51589965820312,136.6657379687661
2020-03-23,120.90431213378906,135.95611495600812
2020-03-24,117.29988861083984,136.30904793597898
2020-03-25,115.45848846435548,136.65135008182918
2020-03-26,122.54977416992188,136.80016577248784
2020-03-27,127.8780517578125,136.65557244554418
2020-03-30,124.74378967285156,136.65166397202358
2020-03-31,134.53836059570312,137.25028920232424
2020-04-01,130.38543701171875,137.84229746022675
2020-04-03,139.39646911621094,138.34946233917935
2020-04-07,142.25650024414062,139.42836125148818
2020-04-08,139.98416137695312,140.09813401160312
2020-04-09,145.15567016601562,140.54950256277095
2020-04-13,142.29566955566406,140.8843596784032
2020-04-15,148.36831665039062,141.92265168620762
2020-04-16,146.01759338378906,142.14198000357544
2020-04-17,147.38885498046875,141.99269836206327
2020-04-20,141.59043884277344,141.1546275202622
2020-04-21,140.728515625,141.30547556822887
2020-04-22,142.80496215820312,141.36642855784945
2020-04-23,141.47288513183594,141.1567138621916
2020-04-24,141.0811309814453,140.57990329408753
2020-04-27,140.92440795898438,138.56617004598013
2020-04-28,140.61099243164062,138.39356819337036
2020-04-29,142.72662353515625,138.1808640777778
2020-04-30,142.64825439453125,137.75558330786484
2020-05-04,136.37974548339844,135.00836516122246
2020-05-05,136.26217651367188,134.99108027403597
2020-05-06,128.426513671875,135.01267588142375
2020-05-07,126.15419006347656,134.8980158547442
2020-05-08,123.99938201904295,134.55337718730468
2020-05-11,124.15609741210938,134.03896747864601
2020-05-12,129.32762145996094,134.6111974109694
2020-05-13,129.6018829345703,135.24687225415983
2020-05-14,128.34817504882812,135.7578800777605
2020-05-15,129.01422119140625,136.03696803255673
2020-05-18,129.0925750732422,137.2452173278145
2020-05-19,133.7939910888672,138.79811093413966
2020-05-20,137.7117919921875,140.34787656215772
2020-05-21,148.0548553466797,141.69631449805252
2020-05-22,146.01759338378906,142.72769463975823
2020-05-26,150.20968627929688,147.0448392027219
2020-05-27,150.56227111816406,148.36361022862874
2020-05-28,149.3869171142578,149.38803072925893
2020-05-29,154.63682556152344,150.00868049704985
2020-06-01,157.1442413330078,151.2459529237495
2020-06-02,154.5584716796875,152.00718266164156
2020-06-03,154.1275177001953,152.6382677501997
2020-06-04,156.83082580566406,152.95976450217995
2020-06-05,156.71324157714844,152.87712678574238
2020-06-08,154.8719024658203,152.1481987971646
2020-06-09,155.53793334960938,152.34715009955428
2020-06-10,155.96888732910156,152.48232072509953
2020-06-11,152.20777893066406,152.38386561245744
2020-06-12,151.93350219726562,151.96498879943954
2020-06-15,146.68362426757812,150.7761290698293
2020-06-16,144.95977783203125,151.00927187443577
2020-06-17,141.9822235107422,151.26916341723108
2020-06-18,146.21351623535156,151.38084750828187
2020-06-19,144.21539306640625,151.2504805165798
2020-06-22,144.95977783203125,151.3022005554549
2020-06-23,145.62582397460938,152.0357292617499
2020-06-24,150.3272247314453,152.81817275866734
2020-06-25,158.3587646484375,153.46117546313948
2020-06-26,152.95216369628906,153.85752693712666
2020-06-29,154.5584716796875,155.33530933842786
2020-06-30,152.52117919921875,156.45510830120782
2020-07-01,158.98562622070312,157.56393042040384
2020-07-02,161.29714965820312,158.46588579360662
2020-07-03,162.62921142578125,159.04837038913743
2020-07-06,164.60646057128906,160.62140791195802
2020-07-07,160.0340576171875,161.61911266145458
2020-07-08,161.7229766845703,162.53322778805293
2020-07-09,161.02267456054688,163.17349356867297
2020-07-10,160.116455078125,163.4339138849407
2020-07-13,162.7528076171875,163.7604971124747
2020-07-14,161.39340209960938,164.28018296464347
